"rep","Dmean","Dse","decHour","DmmolMean","DmmolSE","CondMean","CondSE","PhotoMean","PhotoSE","CiCaMean","CiCaSE","gcMean","gcSE","vcmax_TinsMean","vcmax_TinsSE","vcmax_TsenMean","vcmax_TsenSE","sampleNo","round","spp","treatment","leafAge"
"1_BET_control_mature",1.27333333333333,0.121700908423525,8.57222222222222,12.5328083989501,1.19784358684571,0.172433333333333,0.0478487315517466,9.75333333333333,1.15407009222914,0.732139843145802,0.0344370259459707,0.107770833333333,0.0299054572198416,41.8676353076387,3.31933113310704,43.047644576613,3.72648394602369,3,"1","BET","control","mature"
"1_BET_drought_mature",1.4425,0.0661280323816358,8.57083333333333,14.1978346456693,0.650866460449171,0.043075,0.0147204718561148,4.8875,1.79450724434314,0.546468876177948,0.0596923327738277,0.026921875,0.00920029491007172,31.931508548355,13.2471691976589,31.7031354794436,13.0675597701223,4,"1","BET","drought","mature"
"1_BET_well-watered_mature",1.486,0.136330480817754,9.24333333333333,14.6259842519685,1.34183544111963,0.08608,0.0196575532556827,7.37,1.30205606638117,0.608494527192048,0.0272002855111893,0.0538,0.0122859707848017,37.2337097579498,5.56714676558298,37.1150747114597,5.57055138615427,5,"1","BET","well-watered","mature"
"2_BET_control_mature",1.89333333333333,0.032829526005987,11.5833333333333,18.6351706036745,0.323125255964439,0.0714666666666667,0.00546056570126006,7.03666666666667,0.205372290676658,0.57337742940227,0.020571534413322,0.0446666666666667,0.00341285356328754,38.6978078850421,0.781702795599119,38.9783278855143,0.898005216083186,3,"2","BET","control","mature"
"2_BET_drought_mature",1.9575,0.0370528901256929,11.5875,19.2667322834646,0.364693800449733,0.015675,0.00413730487958848,1.7775,0.765118454881334,0.610981739211025,0.124077068289031,0.009796875,0.0025858155497428,12.9378046776432,6.61622806246371,13.8548886140769,7.35466024848179,4,"2","BET","drought","mature"
"2_BET_well-watered_mature",2.4325,0.179832097617009,11.3666666666667,23.9419291338583,1.77000096079733,0.059975,0.0321618919167804,3.27,1.73023119842407,0.791270397811634,0.0780151624739297,0.037484375,0.0201011824479878,15.2707259495725,8.40990592235178,15.0494743642708,8.37283842396896,4,"2","BET","well-watered","mature"
"3_BET_control_mature",2.3,0.0907377172587747,13.9055555555556,22.6377952755906,0.893087768295026,0.0362666666666667,0.0122514398246809,3.95666666666667,1.37782840408779,0.536026717838377,0.00787160649766931,0.0226666666666667,0.00765714989042558,23.5963340625635,8.46342735481752,24.8776284704113,8.88367241099121,3,"3","BET","control","mature"
"3_BET_drought_mature",2.3625,0.0478495907331853,13.8958333333333,23.2529527559055,0.470960538712454,0.0098,0.00207284024147223,0.4175,0.331018000517595,0.864101181827432,0.113776869343962,0.006125,0.00129552515092015,4.49640187407873,1.90899577249833,4.51582400463261,1.98218000998154,4,"3","BET","drought","mature"
"3_BET_well-watered_mature",2.928,0.103990384170845,13.4333333333333,28.8188976377953,1.02352740325635,0.0618,0.0307184635032418,4.298,1.6476389167533,0.718095638160016,0.149504785084162,0.038625,0.0191990396895261,30.9098532923655,7.75935077002682,32.8774653909635,8.64843684623226,5,"3","BET","well-watered","mature"
"4_BET_control_mature",2.77,0.05,15.6277777777778,27.2637795275591,0.492125984251969,0.0228666666666667,0.00640633367154031,-0.296666666666667,0.208513255640446,0.998547419007912,0.0244672322327792,0.0142916666666667,0.00400395854471269,0.0679549158285855,NA,0.0640772684196299,NA,3,"4","BET","control","mature"
"4_BET_drought_mature",2.815,0.0464578662158879,15.6541666666667,27.7066929133858,0.457262462754802,0.010725,0.000654949107437619,-0.035,0.175902435078843,0.972003681734479,0.0623410436816195,0.006703125,0.000409343192148512,1.81037446884697,NA,1.77833297202861,NA,4,"4","BET","drought","mature"
"4_BET_well-watered_mature",3.462,0.132075735848793,15.6166666666667,34.0748031496063,1.2999580300078,0.06348,0.0309456200454927,4.914,1.82806892649046,0.650616536923128,0.123159231028237,0.039675,0.0193410125284329,36.4474848544926,5.26107816961227,40.7744935387919,4.65543034755388,5,"4","BET","well-watered","mature"
"1_EUC_control_mature",1.2625,0.0375,10.1416666666667,12.4261811023622,0.369094488188976,0.0728,0.0271035975471892,6.7725,1.63850223781762,0.559365007137597,0.0432356319837463,0.0455,0.0169397484669932,37.0611278592062,5.78533205669428,36.917247550396,5.90087543684988,4,"1","EUC","control","mature"
"1_EUC_drought_mature",1.17,0.112323936303295,10.0375,11.5157480314961,1.10555055416629,0.05715,0.0235112207254324,4.595,1.63683892508294,0.596203592267271,0.06491281071396,0.03571875,0.0146945129533952,22.9091954006872,7.29504231721268,23.1993812451923,7.36684710146436,4,"1","EUC","drought","mature"
"1_EUC_well-watered_mature",1.24166666666667,0.0679419687020557,9.18333333333333,12.2211286089239,0.668720164390312,0.14195,0.0297413825054138,12.3833333333333,1.81029402154579,0.584372159125828,0.0427683133878611,0.08871875,0.0185883640658836,66.9037754985015,7.96005036252119,66.4364636444356,7.90138550565145,6,"1","EUC","well-watered","mature"
"2_EUC_control_mature",2.03333333333333,0.123333333333333,12.75,20.0131233595801,1.21391076115486,0.0359666666666667,0.0197759393652433,3.78666666666667,2.455974574606,0.60040089895656,0.0500964511059768,0.0224791666666667,0.012359962103277,22.5313838649686,15.9841633477782,22.8855916941582,16.3330619191534,3,"2","EUC","control","mature"
"2_EUC_drought_mature",1.9975,0.0978412830387392,12.7416666666667,19.6604330708661,0.963004754318299,0.017025,0.00287528984046246,1.1425,0.633276861517404,0.753788617430112,0.0999119488270783,0.010640625,0.00179705615028904,8.55691530949957,5.06289645866335,8.75941544067797,5.38721972483918,4,"2","EUC","drought","mature"
"2_EUC_well-watered_mature",1.9,0.0631325136970981,11.3190476190476,18.7007874015748,0.621383008829706,0.0903857142857143,0.0253618050710628,6.82714285714286,1.39138114713354,0.613137675148302,0.0441657966211181,0.0564910714285714,0.0158511281694142,35.1366980214005,6.19707225523383,35.0528902844407,6.23327584523365,7,"2","EUC","well-watered","mature"
"3_EUC_well-watered_mature",2.5,0.0824014562978106,13.77,24.6062992125984,0.811037955687113,0.07914,0.0130182794562108,8.06,1.34001492529001,0.553876606959518,0.0136808295563007,0.0494625,0.00813642466013175,46.2781604221627,8.02387969589172,46.9631906464384,8.03431834024932,5,"3","EUC","well-watered","mature"
