"Species","Campaign","leafAge","Treatment","g0","g0_err","t_val_g0","P_val_g0","xi","xi_err","t_val_xi","P_val_xi","upCI_xi","lwCI_xi","AIC_CAP","RMSE_CAP","intMES","intMES_err","t_val_intMES","P_val_intMES","sqrtEmax","sqrtEmax_err","t_val_MES","P_val_MES","AIC_MES","R2_MES","RMSE_MES","Emax","Emax_err","g1","g1_err","g1_CI","campaign","spp"
1,2,"mature","well-watered",0.00407110839715145,0.00765714198334057,0.531674664778171,0.601830580557982,7.70163951531946,1.91320986197342,4.02550690773434,0.000877363400126866,3.66511941680614,11.7381595970201,-89.8607335571952,0.0194173279885414,-0.00426764335420239,0.0144372207147162,-0.295600063096098,0.771588145035915,2.52411635866734,0.639882344295134,3.94465698447703,0.00129756412843347,-72.098770394417,0.50916742279788,0.0230158076633137,6.37116339209206,3.23027498571551,1.53429919929254,0.381144346403838,-0.804144301607786,"Jun-2015","BET"
1,1,"mature","drought",0.00467559958973471,0.00101297410652119,4.61571481406559,0.000400318251127736,2.14755753239421,0.427718418226274,5.0209610829948,0.000187104585332245,1.2301927345369,3.06492226773299,-132.526520931753,0.0031894961788547,-0.00255727354384006,0.00264513606003783,-0.966783366071343,0.35891162433734,1.25146507681277,0.150960350773966,8.2900249661356,1.66353938591029e-05,-81.6680102012272,0.884206416433227,0.00373056787156649,1.56616483848198,0.377843213954046,0.427830437380635,0.0852088734225862,-0.182754850586006,"Aug-2015","BET"
1,1,"mature","well-watered",-0.000468097490270356,0.00849616206294758,-0.0550951696545156,0.957147861694617,9.02895690626615,1.73802109669941,5.19496392961662,0.000404228697234306,5.15640485714594,12.9015088890157,-56.9140483961014,0.0175911874329242,-0.0269039765843845,0.0160035553953972,-1.68112497002525,0.13124546104455,3.32564920284614,0.593335716388515,5.6050042345142,0.000507277596353814,-43.9814068019168,0.797037109511414,0.0181484585237766,11.0599426203912,3.94645290445522,1.79872367749432,0.346243727938081,-0.771479033072459,"Aug-2015","BET"
1,2,"young","well-watered",-0.0167729160707264,0.0133765255825361,-1.25390677625769,0.227887613672529,14.7614011487077,2.93138706813707,5.03563698876817,0.000121800344970552,8.5471381030271,20.9756643031336,-73.7204853871711,0.026426276004205,-0.0321555713314253,0.0210375706735361,-1.52848310436694,0.145919993018219,4.12814909113595,0.877604385338252,4.70388384573176,0.000238940650698858,-67.2720734222444,0.580344635629547,0.0316102480354704,17.0416149186466,7.24576349142206,2.94072527256669,0.583982776980526,-1.23798821836097,"Jun-2015","BET"
2,2,"young","well-watered",0.00840391786753412,0.0119899790827314,0.700911803894462,0.493426422727769,5.2815898646336,1.9009647597299,2.77837336941693,0.0134267845929238,1.25172457380621,9.31145528901822,-84.3370795287794,0.0196770587271544,-0.000732985001339568,0.0191015319123783,-0.0383731003723619,0.969864925599607,2.23198577307108,0.641740188925933,3.47802087447057,0.00310435369696262,-79.8053828217467,0.430536670991568,0.0223166690355533,4.98176049119171,2.86470994338126,1.05218364014312,0.378704911199149,-0.802818579289678,"Jun-2015","EUC"
2,2,"mature","well-watered",0.00324589843190333,0.00781652034235181,0.415261304229743,0.682858624047727,5.66341827839835,1.09256641342181,5.18359177879272,6.25050563742396e-05,3.36802159239718,7.95881505477858,-98.845884263532,0.0175959654362585,-0.019498577528352,0.0136769937991099,-1.42564790294933,0.171081874120579,2.81530722700938,0.439782815533074,6.40158534525017,5.00406283514544e-06,-91.5321332670192,0.694813326712024,0.0211261881215512,7.92595478245126,2.47624747776959,1.12825043453685,0.217658041505656,-0.457282560298174,"Jun-2015","EUC"
2,1,"mature","drought",0.00818327473279516,0.00195695901767539,4.18162805602123,0.00092293963513247,4.19422482093699,0.811051340106309,5.17134318573128,0.000141833490826358,2.45469270961644,5.9337569575215,-109.404379918472,0.00656944841140024,-0.00771223298242373,0.00472498515180514,-1.63222374984127,0.14665172927791,1.80745476365212,0.238857968492443,7.56706914598624,0.000129797234153773,-57.8633505087308,0.891068445821738,0.00522351609299389,3.26689272264874,0.863449945975868,0.83556180104459,0.161575391737695,-0.346544753100476,"Aug-2015","EUC"
2,1,"mature","well-watered",0.00812786913484096,0.0032730203222448,2.48329320768361,0.0303954081735532,3.76146798543375,0.866468377819603,4.34114860013608,0.0011725510018387,1.85438394858458,5.66855202147395,-81.0115183135884,0.00851832638246471,-0.0107168864564156,0.00798187123423793,-1.34265338814862,0.216233263351875,1.99846552731118,0.344338631373297,5.80377960887186,0.000403421522395395,-56.1733460098184,0.80807918383429,0.00947794303272234,3.99386446385117,1.37629776904209,0.749349188148303,0.172615419828018,-0.379923976402666,"Aug-2015","EUC"
3,1,"mature","well-watered",0.0397576749059599,0.0312102705177603,1.2738651170401,0.22501524049253,2.04052500379084,15.4909375742135,0.131723789732878,0.897219592314523,-31.4256127657347,35.506661795643,-43.164198552274,0.0469935391500496,0.0148847526525147,0.0517087506556098,0.287857518578433,0.777993694253272,2.43782462637337,3.27902658949304,0.743459853050558,0.470427194945027,-43.934702409051,0.0407838456881237,0.0458019499469962,5.94298890895245,15.9873835407984,0.406507714782705,3.08606148978146,-6.66703067327651,"Aug-2015","MOL"
3,2,"young","well-watered",0.00312110841386436,0.00910757085128455,0.34269383843708,0.736289584556804,16.123956181881,2.19229828162682,7.35481860156184,1.62187029236629e-06,11.4764911355387,20.7714212720313,-83.3623476573269,0.0202171107130333,-0.0196937809608596,0.0153465916827616,-1.28326740998661,0.217674823255082,4.18485234607486,0.63681968472843,6.57148710448465,6.43093134026399e-06,-75.0021772926836,0.729658686427272,0.0255019843153515,17.5129891584482,5.32999270332485,3.21216969582636,0.436743564979867,-0.925855066622381,"Jun-2015","MOL"
