"nPsi","predksi2","predksi7","predksi12","predksi50","predEmax2","predEmax7","predEmax12","predEmax50"
-0.02,13.7817743917759,25.7833059552549,33.7582285365371,68.9080247077405,3.95999594249587,13.8599502957017,23.7598539305997,98.9974641222792
-0.0333333333333333,13.781744507441,25.7831102779488,33.7577893388241,68.9042895952264,3.93331224514537,13.7664083398266,23.5992408455839,98.3201549115706
-0.0466666666666667,13.7816715624987,25.782632660812,33.7567173571548,68.8951749734977,3.90660436684553,13.6725701909491,23.4377573852546,97.6277441752337
-0.06,13.7815334001814,25.781728075819,33.7546871895466,68.8779208181926,3.87986033246741,13.5782892266816,23.2749728736288,96.912783140772
-0.0733333333333333,13.7813062593436,25.7802410728671,33.751350228073,68.8495817655458,3.85306761363045,13.4834121613701,23.1104373878085,96.1675329189849
-0.0866666666666667,13.7809650691008,25.7780077780123,33.7463392983928,68.8070764566967,3.82621332411403,13.3877815313589,22.9436893296743,95.3841308948878
-0.1,13.7804836456925,25.7748572779395,33.7392719804928,68.7472293055238,3.79928435477433,13.2912374715524,22.7742610086998,94.5547342747369
-0.113333333333333,13.7798348368351,25.7706126895676,33.7297532865017,68.6668105957861,3.77226747541824,13.1936191210957,22.6016832319699,93.6716578385703
-0.126666666666667,13.7789906347,25.7650920552371,33.717378014516,68.5625776014532,3.74514941655601,13.0947658172308,22.4254893691401,92.727513019236
-0.14,13.7779222688851,25.7581091396362,33.7017329517102,68.4313179813705,3.71791693802684,12.9945181630368,22.2452191414966,91.7153508079389
-0.153333333333333,13.7766002861194,25.7494741738492,33.6823990294513,68.2698958689863,3.69055688865028,12.8927190192306,22.0604222766636,90.6288082415559
-0.166666666666667,13.7749946209751,25.7389945753881,33.6589534943741,68.0753004977669,3.66305625953595,12.789214450842,21.8706621102571,89.4622562974206
-0.18,13.7730746604525,25.7264756633473,33.6309721357042,67.8446967429003,3.6354022328015,12.6838546480118,21.675519178281,88.2109455433258
-0.193333333333333,13.7708093044386,25.7117213816514,33.5980315932303,67.5754765741943,3.60758222690352,12.5764948327023,21.4745948185173,86.8711447555953
-0.206666666666667,13.7681670234817,25.6945350391634,33.559711758692,67.2653100941611,3.57958393943029,12.466996157957,21.267514780376,85.4402669239529
-0.22,13.7651159149519,25.6747200723641,33.5155982741637,66.9121945864822,3.55139538796362,12.35522660258,21.0539328280274,83.9169766496356
-0.233333333333333,13.7616237583926,25.6520808339574,33.4652851233185,66.5144998380303,3.5230049494458,12.2410618612016,20.8335343097615,82.3012729630455
-0.246666666666667,13.7576580706818,25.6264234088322,33.4083773047153,66.0710079382835,3.49440139836288,12.1243862273754,20.6060396567151,80.5945420758534
-0.26,13.7531861614779,25.5975564571728,33.3444935702258,65.580945815872,3.465573943961,12.0050934654397,20.3712077660431,78.7995755460775
-0.273333333333333,13.7481751893169,25.5652920830645,33.2732692062668,65.0440089487939,3.43651226663945,11.8830876652746,20.1288392171973,76.9205507379269
-0.286666666666667,13.7425922186397,25.5294467256352,33.1943588306331,64.4603749786763,3.40720655360623,11.7582840727489,19.8787792652106,74.9629722194323
-0.3,13.7364042779602,25.4898420685762,33.1074391734566,63.8307063557639,3.37764753383463,11.6306098875433,19.6209205518765,72.9335747347288
-0.313333333333333,13.7295784193214,25.4463059627916,33.012211807242,63.1561416150412,3.34782651232051,11.5000050191567,19.3552054745567,70.8401904553433
-0.326666666666667,13.7220817791391,25.3986733559213,32.9084057881338,62.4382754013624,3.31773540360724,11.3664227912471,19.0816281531652,68.6915851799806
-0.34,13.7138816404857,25.3467872215851,32.7957801686648,61.6791278836265,3.28736676451732,11.229830584034,18.8002359387325,66.4972698426029
-0.353333333333333,13.7049454968262,25.2904994804049,32.6741263413152,60.8811046846449,3.25671382600634,11.0902104043127,18.5111304118847,64.2672949563447
