"spp","leafAge.mature","Ep.mature","Ep_err.mature","Emax.mature","Emax_err.mature","lmaMean.mature","lmaSE.mature","thickMean.mature","thcikSE.mature","leafAge.young","Ep.young","Ep_err.young","Emax.young","Emax_err.young","lmaMean.young","lmaSE.young","thickMean.young","thcikSE.young"
"BET","mature",2.7105358798801,0.367516661915445,5.54044628308957,0.073112688008606,32.3772754033333,0.566500723532765,137.5,14.3614066163451,"young",3.68641363114626,0.469183024999153,8.32312485776175,0.117220634920278,30.2995362733333,2.76662039287033,90,4.08248290463863
"EUC","mature",1.92778082539624,0.180712393537147,4.97897649967676,0.02702999299702,51.998460028,6.42817948735513,193.333333333333,16.6666666666667,"young",2.07080464104272,0.244852969723097,4.87718088281683,0.0330698229377011,43.195864236,2.14100840615983,170,11.5470053837925
"MOL","mature",3.11817698131079,0.147866273240607,8.18823737178464,0.038370798562551,60.231313118,6.21780235716221,176.666666666667,14.5296631451356,"young",5.33868293041742,0.377595313860642,11.8439161922858,0.0726529881757343,55.9265602625,5.90266010219745,130,20
"PIN","mature",2.32084238266147,0.173132045768619,6.14547277764455,0.0310815040635106,122.7508105,5.04654415448246,673.333333333333,78.3865067753657,"young",3.16873937396506,0.307559894425575,7.62994173723547,0.0434575501883478,100.255049755,12.6158180604566,473.333333333333,80.0694143297621
"PTE","mature",1.48202261025195,0.199328796150924,2.39885995951536,0.0183838136524642,23.4047625033333,1.4111760632014,146.666666666667,34.8010216963685,"young",6.74062953123283,2.98879495851396,23.178905794893,1.6157943329744,24.565247752,3.5672627333528,110,34.6410161513776
"QUE","mature",2.07051680827266,0.198700043658884,4.46786358577654,0.0332567906691618,40.55060796,2.64020393499771,117.5,10.3077640640442,"young",3.52494635395766,0.335184726364633,5.65289653093615,0.014099413101972,24.11047907,2.70584163491479,77.5,8.53912563829967
"ZEA","mature",0.673844378158543,0.0660863604090666,6.09234200913783,0.00813916701299773,20.91511142,1.25822589677745,100,5.77350269189626,"young",0.696302344738165,0.0715136277868875,4.84292368903022,0.00693624013690199,13.40784397,1.24779117819063,95,2.88675134594813
